tweet_id,timestamp,rating_numerator,name,sources,jpg_url,img_num,retweet_count,favorite_count,gender,dog_stage,breed_prediction,confidence
891815181378084864,2017-07-31 00:18:03,12,Archie,Twitter for iPhone,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,4328,25461,Male,,Chihuahua,0.716012
891689557279858688,2017-07-30 15:58:51,13,Darla,Twitter for iPhone,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,8964,42908,Female,,Labrador_retriever,0.1680859999999999
891327558926688256,2017-07-29 16:00:24,12,Franklin,Twitter for iPhone,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,9774,41048,Male,,basset,0.555712
891087950875897856,2017-07-29 00:08:17,13,,Twitter for iPhone,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,3261,20562,,,Chesapeake_Bay_retriever,0.425595
890971913173991426,2017-07-28 16:27:12,13,Jax,Twitter for iPhone,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,2158,12041,Male,,Appenzeller,0.341703
890729181411237888,2017-07-28 00:22:40,13,,Twitter for iPhone,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,16716,56848,,,Pomeranian,0.566142
890609185150312448,2017-07-27 16:25:51,13,Zoey,Twitter for iPhone,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,4429,28226,Female,,Irish_terrier,0.4875739999999999
890240255349198849,2017-07-26 15:59:51,14,Cassie,Twitter for iPhone,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,7711,32467,Female,,Pembroke,0.511319
890006608113172480,2017-07-26 00:31:25,13,Koda,Twitter for iPhone,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,7624,31166,Male,,Samoyed,0.957979
889880896479866881,2017-07-25 16:11:53,13,Bruno,Twitter for iPhone,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,5156,28268,Male,,French_bulldog,0.377417
889665388333682689,2017-07-25 01:55:32,13,,Twitter for iPhone,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1.0,8538,38818,,puppo,Pembroke,0.966327
